What is your Vassal handle?,What is your Discord name (User#0000)?,Paste your new YASB Squad link here:,
EvanPaul,DocVelo#3200,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z383XW202W311WY283XW202WW102Y289XWW179WWWWW108&sn=Evan%27s%20Jank%20Tank%20Squad&obs=,
unfassbarnathan,unfassbarnathan#1964,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z324XW98W221WWY305X115W222WWY343X99WWY324XWW235WWY344XWW165W&sn=Nathan%20Willcock%20JTO&obs=,
NilsTillander,NilsTillander#7371,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z340X120W136W54W89W6W165Y273X72W214W200WY333X119WWW&sn=Luc%20Girod%20JTO&obs=,
NiklasGod,Niklas God#2101,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z172XW112W98Y166XW13WWWW162Y161XW111W136W101WW144W11Y190X138WWWW&sn=NiklasGod%20squad&obs=,
higgo,higgo#8488,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z317XWW106Y362XW137W136WWWWY364XW138WW225WWWY323XWW234Y319XW&sn=Cormac%20Higgins%20JTO&obs=,
AKarlsson(Swe),AKarlsson(Swe),"https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z83X116W113W232WWW94WW151Y129X256WWWWW236Y122XWWWWY303X&sn=Andreas%20Karlsson%20JTO&obs=coreasteroid3,coreasteroid5,core2asteroid4",
Abel,Abel#9795,"https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z173XW111W311W105Y228XY180XWWY208X135W102W99WWWW&sn=Abel%20JTO&obs=coreasteroid5,core2asteroid4,core2asteroid5",
 BaldWookie,BaldWookie#6233,"https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z269X177WY289XWW183WWW13W113WY397XWWW182WWY259XWW182WW&sn=Ricardo%20Lopez%20JTO&obs=core2asteroid0,core2asteroid1,core2asteroid2",
bevicadarn,bevicadarn,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z377X123WW195WW236WW315Y380XW6WW165WWY244XWW37WW174WWW193Y345XWWW&sn=Stephen%20Gage%20JTO&obs=,
Kerbocat,Kerbocat#5844,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z96XY93X125W30WY154XWWW22WW79W93WW150Y142X206WW317W93WY132XWW13&sn=Jan%20Ullerup%20JTO&obs=,
pbpancho,pbpancho#0429,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z56X122W99W106Y39X133WWWWW157WY60X54WW&sn=Pbpancho%27s%20Jank&obs=,
B_Squidgy,B_Squidgy (#2443),https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z124XWWWWY83XW113W11WW68W92WWY150XWWWWY143XWWWW&sn=B_Squidgy%20JTO&obs=,
Earthworm,Earthworm #3395,"https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z16XY45X98WW51W58W164WW154Y45X99WWWWWW&sn=You%20came%20in%20that%3F%20%20You%27re%20braver%20than%20I%20thought!&obs=yt2400debris0,yt2400debris2,vt49decimatordebris0",
BobbySapphire,BobbySapphire #5108,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z163X122W113WWW108W144W11Y201XW111WW236Y182XWY225X122WY223XW&sn=BobbySapphire%20JTO&obs=,
Chris Burnett,Kern0wChris#3872,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z77XWW314WWWY55X116W99WY51XWWY49X69W46W109WW156&sn=Chris%20Burnett%20JTO&obs=,
Opirian,Opirian#5169,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z87X115WW136WW9W317WWY145X132W138WW86W67WWW149WW1Y105XWWWW71WWW&sn=OPI%20JTO&obs=,
Marc,Marc M #4050,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z71XWW106W2W167Y393X199WWW44W314WWWY23X122WW134WW&sn=Marc%20McIntyre%20JTO&obs=,
Chemical Jedi,Chemical_Jedi,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z323X240WW135Y333X116WW2W134Y313XW4W200WY274XW2WW&sn=Kevin%20Brimage%20JTO&obs=,
mightynute,mightynute#6531,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z332X133W113W233W136Y323XW252WY364XW138WWWWWY275X203W214WW&sn=Matt%20Nute%20JTO&obs=,
Aaron T,potato hombre#5509,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z267X115WW108Y397X181WWW182W240WY288X202WWWWWWWY383X127WWW&sn=Aaron%20T%20Jank%20Tank&obs=,
Shutabyss,Shutabyss,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z385X181WWWWWY251X318WWWWWWWY285XWWWWWY243XWWW182WW&sn=208th%20Special%20Forces%20Strike%20Group%20%22Specter%22&obs=,
fivepointOMG,fivepointOMG#1137,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z319X98WY318X126W311WY273X251WW200WY366XWWWW226WW&sn=Five%20point%20Jank&obs=,
TriggerHappyTaco,TriggerHappyTaco#0952,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z245X124WWWWWWWY246XWWWW86WWWY295XWWWWWW&sn=Daniel%20Wochnick%20JTO&obs=,
Ted W,Ted W #4013,"https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z174X125W240W311W105Y394X199WW100Y170XWW100Y190X137WWW90W&sn=Ted%20W%20(JTO)&obs=vt49decimatordebris2,core2asteroid0,core2asteroid1",
Andrew,Weak_Link13#0228,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z185X24W33WY180X122W236WY191X113W134W102W98WW70W69W247&sn=Andrew%20Neusch%20JTO&obs=,
RoguePanda,RoguePanda#4066,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z61XWWW137W41W53WW84W148Y77XW134WWWWY51XWW&sn=Steven%20Sior%20JTO&obs=,
Jello_Knight,Jello Knight#6419,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z331X116W240W6W234Y314X203W213W201W211Y316X123WWY317XW101W&sn=Joel%20Killingsworth%20JTO&obs=,
casperionx,casperionx#2267,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z167X111W10W49WW106WY183X127W30W28W166Y179X126W108W&sn=HEATH%20CARRUTHERS%20JTO&obs=,
Garran_Crowe,Garran Crowe 4570,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z159X99WWY130XWW98W8WW247Y112XWW69WWWW156Y304XY157XWWW&sn=Cam%20Murray%20JTO&obs=,
the8bitdeity,the8bitdeity#8163,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z362X122W138WWW254WWY316X127W98WY342XWWWWWY322XWW6W136&sn=Robert%20Kukuchka%20JTO&obs=,
Liritar5203,#2460,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z206XW102WWWWWY178XWWY208XWWWWWWY165XWW38W14WWY164XWWWW&sn=Evan%20Caldwell%20JTO&obs=,
