name,wins,byes,rank,faction,points,totalhealth,totalmainattack,totalagility,totalupgradecount,totaluselesscount,totaluselesscost,shipcount,handicap,avginitiative,url
Preston Person,0,0,512,rebelalliance,198,31,9,2,6,0,0,3,2,2.6666666666666665,"https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z28XW137W134W4WW71W87Y64XWWWWW165WWY59XWWW&sn=Preston%20Person%20JTO&obs=gascloud4,gascloud5,gascloud6"
Tom Candlin,0,0,512,scumandvillainy,200,25,9,8,5,0,0,4,0,4.0,"https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z156XWWW166Y302XW164Y113X122WWWWWW156Y152XWWW63WWWWW&sn=Tom%20Candlin%20JTO&obs=coreasteroid5,core2asteroid4,core2asteroid5"
"Tim ""timathius"" Hilton",0,0,512,galacticrepublic,197,30,9,5,8,0,0,4,3,3.0,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z361X138WWW213WWY331XWWW234Y341XWWW241WY366XW138W135W88WW70W&sn=Tim%20Hilton%20JTO&obs=
Tommy Adams,0,0,512,separatistalliance,199,21,10,8,15,0,0,4,1,2.5,"https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z343X224W208W164Y279X224W208W166Y336X10W234W53W218W68WW216W223Y354X115W255&sn=Tommy%20Adams%20JTO&obs=vt49decimatordebris0,vt49decimatordebris1,vt49decimatordebris2"
Lee Holland,0,0,512,rebelalliance,200,27,10,7,5,0,0,4,0,2.75,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z58XW65WW249Y28XW138WWWWWY49XWWWW156Y24X113WWW&sn=Lee%207Suns%20JTO&obs=
Thomas Correnti,0,0,512,galacticempire,194,27,10,7,6,0,0,4,6,3.0,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z207X131WW97WW82WWWY162X116WW136WWWY167XWW28WWWY212XWWW&sn=Thomas%20Correnti%20JTO&obs=
Tommy Ryan,0,0,512,galacticrepublic,200,29,10,6,5,0,0,4,0,3.75,"https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z338XWWW89W241W165Y278XWW201WY363X138WWWWWY317XWW&sn=Tommy%20JTO&obs=core2asteroid5,gascloud4,gascloud5"
Jonas Malapas,0,0,512,scumandvillainy,195,25,10,8,5,0,0,4,5,3.75,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z149XW111W134W165W163WY131XWWWWWY398XWWWY140XWWW70WW&sn=Jonas%20Malapas%20JTO&obs=
Lionel JOURDAN,0,0,512,scumandvillainy,200,27,10,8,6,0,0,4,0,3.25,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z102X136Y152XWW101WW43WWW165W150Y93XWW164Y140XWWWWW&sn=Jossmabic&obs=coreasteroid5
Tony Cameron,0,0,512,galacticempire,199,21,9,9,10,1,6,4,7,2.5,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z203X115W134W98W99WW316WWY171X73W114W99Y226XY186X26WW106&sn=Tony%20Cameron%20JTO&obs=
Kimberly Colas,0,0,512,resistance,195,26,10,8,6,0,0,4,5,3.75,"https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z347X186WWWW32WWY270XWWW206Y256XW196WW175WWWY297XWWW175WWW&sn=Kimberly%20Colas%20JTO&obs=coreasteroid0,coreasteroid2,coreasteroid4"
Ron Brannan,0,0,512,rebelalliance,199,25,8,7,11,0,0,4,1,3.25,"https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z26X118W137W134WWW68W86Y15XY18XW101WW86W52W71WWY47XWW37W109WW&sn=Ron%20Brannan%20JTO&obs=coreasteroid5,core2asteroid4,core2asteroid5"
Kyle blackman,0,0,512,galacticrepublic,198,30,9,5,5,0,0,4,2,3.25,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z323XWW234Y280X134WWWWY366XW138WWWWWY360XWW234WWWW105&sn=Black2710%20JTO&obs=gascloud3
donfonni,0,0,512,galacticrepublic,195,26,9,7,6,0,0,4,5,3.0,"https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z323X113WW136Y274XW213W200WY342XWW254W89WWY362XWWWWWW&sn=donfonni%20JTO&obs=gascloud1,gascloud2,gascloud3"
Malloc,0,0,512,galacticrepublic,198,21,8,9,5,0,0,4,2,3.5,"https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z362X125WWWWWWY314X250WWW166Y276XW2WWY333X123WWW&sn=Michael%20Buccheri%20JTO&obs=gascloud1,gascloud2,gascloud3"
Ricardo Lopez,0,0,512,firstorder,196,28,10,8,6,0,0,4,4,2.75,"https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z269X177WY289XWW183WWW13W113WY397XWWW182WWY259XWW182WW&sn=Ricardo%20Lopez%20JTO&obs=gascloud1,gascloud2,gascloud3"
Cal Neuvost,0,0,512,separatistalliance,192,20,11,11,13,0,0,5,8,1.8,"https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z324X135W101W235WW237Y310X101W208W109Y310X209W208W105Y324XW98W221WWY358X133W&sn=Cal%20Neuvost%20JTO&obs=coreasteroid5,core2asteroid4,core2asteroid5"
Assistant Beaker,0,0,512,scumandvillainy,196,32,8,3,10,1,6,3,10,3.0,"https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z109XWW66WW166WY91X98W22W53WW92WW152Y152X115W232WW39WWWWW&sn=Be-%20Pr-%20JTO&obs=gascloud3,gascloud4,gascloud6"
Jon Feucht,0,0,512,galacticempire,198,28,13,10,5,1,1,5,3,2.4,"https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z212X128WWW236Y164XW136WWW139WWY182XWY207XW234WWWWWWY184XWWW&sn=JON%20FEUCHT%20JTO&obs=gascloud1,gascloud2,gascloud6"
Stephen Downs,0,0,512,firstorder,200,26,10,12,7,1,1,5,1,3.0,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z259XW100W182WWY243XWWW182WWY259XWWW113W108Y235X116W186WY267XWW&sn=Stephen%20Downs%20JTO&obs=
PsychJ7,0,0,512,firstorder,190,28,11,12,3,1,1,5,11,2.2,"https://raithos.github.io/?f=First%20Order&d=v8ZhZ200Z259XW101WWW236Y269XWY285XWWWW240WY386XWWY285XWWWWW&sn=Plush%20Rush&obs=coreasteroid5,yt2400debris0,core2asteroid5"
Josh Dunne,0,0,512,scumandvillainy,198,27,8,4,10,0,0,3,2,3.0,"https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z113XW45WWWW105W156Y146X138WWW70WWW149W240WY154XWW98W22WW80WWW&sn=Josh's%20Dace%20of%20Legend&obs=coreasteroid2,coreasteroid5,core2asteroid5"
Douglas Foglein,0,0,512,separatistalliance,197,28,12,9,9,0,0,5,3,2.6,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z335X124W232WW37WW317WWWY344XW223WW229Y325XWWW106WY343XW208WY310X224WW&sn=Douglas%20Foglein%20JTO&obs=
Andrew Neusch,0,0,512,galacticempire,199,19,8,5,11,1,1,3,2,3.6666666666666665,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z185X24W33WY180X122W236WY191X113W134W102W98WW70W69W247&sn=Andrew%20Neusch%20JTO&obs=
Keith Wong,0,0,512,galacticempire,199,41,8,1,3,0,0,3,1,3.0,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z192XWWW98WWWWY216XWWWWWWW147Y215XWW15WWWWWW&sn=One&obs=
jamaicanlumberjack,0,0,512,galacticempire,198,18,8,6,11,3,13,3,15,4.333333333333333,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z211X133W82WW108Y169X251W114W98Y166X114W10W15WW109W162&sn=Michael%20Grieb%20JTO&obs=
SteveTheFifth,0,0,512,resistance,197,34,11,10,2,0,0,5,3,2.8,
Johan Bisenius,0,0,512,rebelalliance,200,25,9,8,8,0,0,4,0,3.5,"https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z51X126W122WY25XW138WWWW316W90Y46XW71WW105WWY38XWWWWW140&sn=Johan%20Bisenius%20JTO&obs=coreasteroid5,core2asteroid4,core2asteroid5"
Micheal Wells,0,0,512,scumandvillainy,198,24,8,7,5,0,0,3,2,2.6666666666666665,"https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z104X124WW100WW316WWW146W70Y399XWY125XWWWWW&sn=Micheal%20Wells%20JTO&obs=vt49decimatordebris0,gascloud1,gascloud6"
Jason Pint,0,0,512,scumandvillainy,200,24,10,8,5,0,0,4,0,2.75,"https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z114X36WWW165WW156Y148X256W240WWWY156XWWWY111XWWWW&sn=Jason%20Pint%20JTO&obs=yt2400debris1,core2asteroid3,core2asteroid5"
Christopher Spenner,0,0,512,firstorder,199,23,11,14,5,1,1,5,2,2.8,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z261XW164Y382X132WWW236Y235X131WWY259X177WWWWY263XWW&sn=Christopher%20Spenner%20JTO&obs=
Patrick Meier,0,0,512,rebelalliance,197,24,10,8,9,2,2,4,5,3.0,"https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z32X130W113W59WW236W140Y48X133W317W54WWWY16X108Y73XWWWWWW&sn=Patrick%20Meier%20JTO&obs=coreasteroid5,core2asteroid4,core2asteroid5"
Patrick Huffman,0,0,512,scumandvillainy,198,28,9,6,13,0,0,4,2,3.0,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z152X124WW99W66W53W80W92W106W150Y86X122W137WW79WW317WWY398X126WWWY160XWW&sn=Random%20Squad&obs=
Steffen Lydvo,0,0,512,galacticempire,200,20,8,5,10,1,0,3,0,3.6666666666666665,"https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z161X132W112W136W102W106W144WY185X54WW166Y199X119WW82W&sn=Steffen%20Lydvo%20JTO&obs=vt49decimatordebris0,vt49decimatordebris1,vt49decimatordebris2"
Dave Laffan,0,0,512,separatistalliance,198,24,13,12,6,0,0,6,2,2.8333333333333335,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z309X100W208WY305X126WWW229Y328XW223WWY337XWWY343XW208WY309XWW&sn=Dave%20Laffan%20JTO&obs=
tomasz szyszka,0,0,512,galacticempire,196,19,7,7,5,0,0,3,4,4.333333333333333,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z196XW111W232W100Y191XWW99WWW235WWY225XW&sn=tomasz%20szyszka%20JTO&obs=
Jeff Wake,0,0,512,firstorder,200,18,9,12,7,0,0,4,0,4.25,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z267X122WW105Y233XW186WY267X131W206WY237X126WWW102&sn=Jeff%20Wake%20JTO&obs=
Catchyslim,0,0,512,galacticempire,198,35,9,2,7,0,0,3,2,2.0,"https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z215XWWWW50W76WWWY168XW12W53WW164W162Y185X60WW&sn=Andrew%20LaTourelle%20JTO&obs=coreasteroid0,coreasteroid1,core2asteroid0"
Stephan Wehr,0,0,512,scumandvillainy,199,41,9,6,3,0,0,4,1,1.25,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z92XW36WWW96WWY400XW11WWWWWY128XWWWWY92XWWWWWW&sn=Stephan%20Wehr%20JTO&obs=
Michaël Juneau,0,0,512,galacticrepublic,196,18,8,10,7,0,0,4,4,4.5,"https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z320XW100WY315X125W101WY273X251W252W200WY312XWW200W&sn=Mu0n%20JTO&obs=coreasteroid5,gascloud1,gascloud2"
Joey Crespino,0,0,512,firstorder,198,22,9,6,9,0,0,3,2,3.0,"https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z242X116W178W100WWWY288X318WW32W59WW12W111WY384XW318WW&sn=Joey%20Crespino%20JTO&obs=gascloud1,gascloud2,gascloud3"
Morgan Sanders,0,0,512,galacticempire,200,16,8,8,9,1,6,3,6,3.3333333333333335,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z197X123W114W10W99Y188XW138W99W100WWY180X256W165W&sn=Morgan%20Sanders%20JTO&obs=
Jason Hall,0,0,512,rebelalliance,200,31,12,7,5,0,0,4,0,2.5,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z44XW99WWWW164WWY68XW164WWY10XWWWWW142Y0XWWWW142&sn=Jason%20Hall%20JTO&obs=
Travis Johnson ,0,0,512,galacticempire,197,25,10,8,8,0,0,4,3,3.5,"https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z161X119W240W136W101W104W139WWY218XWY167XWWWW164W162Y212XWWW&sn=Johnson%27s%20Jank%20Tank&obs=coreasteroid5,core2asteroid4,core2asteroid5"
Neal Duffy,0,0,512,rebelalliance,197,28,9,7,4,1,2,4,5,3.25,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z28X131WWWWWW88Y21XWWWWY71XWWWW167Y18XWWWW54WWW&sn=Duff_N_Stuff%20JTO&obs=
SamTinSquadron,0,0,512,galacticempire,199,26,10,6,9,1,1,4,2,2.75,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z183X125W15W33W110Y188XW137WWWW108Y189XW138W102WWWY185X29WW&sn=SamTinSquadron%20JTO&obs=
Virgil Hayward,0,0,512,scumandvillainy,200,24,10,10,5,0,0,5,0,4.2,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z85XWW136W83WWWWY140XW206WW316WWY302X256WY398XWWWY93XWW&sn=Blackjack&obs=
William Scott,0,0,512,galacticempire,198,19,11,10,5,0,0,4,2,2.5,"https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z198XWW100Y210X128W82W71WY187XWW100WWWY182XW&sn=William%20Scott%20JTO&obs=gascloud4,gascloud5,gascloud6"
Nicholas Allard,0,0,512,firstorder,198,28,10,8,3,0,0,4,2,4.25,"https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z242XWWWWW166Y243XWWW182WW106Y266XWWY288XWWWWWWW&sn=Nick%20Allard%20JTO&obs=yt2400debris0,yt2400debris1,core2asteroid0"
"Andrew ""johnny_raye"" Ferguson",0,0,512,resistance,200,27,10,10,6,0,0,5,0,2.6,"https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z378X256WW195WW164WWY347X206W232WWWWWY300XWWWY350XWW54WY348XWW&sn=Andrew%20Ferguson%20JTO&obs=gascloud2,gascloud3,gascloud4"
Mike Domino,0,0,512,galacticempire,198,24,9,9,11,1,1,4,3,3.0,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z171XW240W98Y171X73W112W99Y167X112WWWW236W162Y207XWW99WWW317WW109&sn=Mike%20Domino%20JTO&obs=
Thomas Wittenberg,0,0,512,resistance,196,26,10,10,8,0,0,5,4,2.2,"https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z345X132W178WWY348XWWY300X117WW99W186Y347XW232WW244WWWY379XWW310WWW&sn=Thomas%20Wittenberg%20JTO&obs=gascloud1,gascloud4,gascloud6"
Joshua Richardson,0,0,512,scumandvillainy,199,23,8,6,9,1,3,3,4,3.6666666666666665,"https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z152X124W10WW16WW83W95WW150Y147X126WWW249W163WY141XWWWW&sn=Unnamed%20Squadron&obs=yt2400debris0,yt2400debris1,yt2400debris2"
CurtisBeatovich,0,0,512,scumandvillainy,200,20,8,6,7,1,1,3,1,4.666666666666667,"https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z119X118W100W94WW236WY103XWW311WWWWW153W85Y156XWWW&sn=%5BCurtis%20B%20JTO%5D&obs=gascloud1,gascloud2,gascloud6"
Tyler Giebelhausen,0,0,512,galacticempire,199,26,11,6,5,0,0,4,1,2.75,
cubsfan4life,0,0,512,separatistalliance,197,25,12,11,8,0,0,5,3,2.8,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z356XWY308XW207W229Y325XW71WW165W237Y326X135W224WWW237Y337XWW&sn=cubsfan4life%20jank%20tank%20squad&obs=
Brian Terwilliger,0,0,512,rebelalliance,199,23,10,9,6,0,0,4,1,3.25,"https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z52XW127W101Y18XW311WWWWW71W166Y21XW112WWWY68XWWW&sn=Brian%20Terwilliger%20JTO&obs=coreasteroid5,core2asteroid4,core2asteroid5"
Jeremy Betsch,0,0,512,galacticrepublic,198,23,9,7,6,1,2,4,4,3.75,"https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z331X116WW241W234Y339XWW88WW247Y322XWWW136Y316XWW&sn=Eruletho%20JTO&obs=coreasteroid5,yt2400debris2,core2asteroid5"
Pete Lambro,0,0,512,galacticrepublic,200,27,11,11,2,0,0,5,0,3.6,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z320XWWY277XWW200WY333X126WWWY339XWWWWY275XWWW&sn=Pete%20Lambro%20JTO&obs=
Rodrigo Denicol,0,0,512,galacticempire,199,26,9,7,8,0,0,4,1,3.25,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z188X127W138W101WWWY165XWW37W26WW162Y189XWW97WWWY203XWW102WWWWW&sn=Rodrigo%20Denicol%20JTO&obs=
Trevor Finlay,0,0,512,rebelalliance,200,25,10,8,7,2,2,4,2,3.25,
MattCourser,0,0,512,firstorder,198,22,10,11,5,0,0,4,2,3.0,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z284X122WWW100Y263X319WWY286X186W135WY242XWWWWW&sn=Matthew%20Courser%20JTO&obs=
Jesse Choe,0,0,512,galacticempire,196,22,10,10,7,1,2,4,6,3.75,"https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z174X128W112WWY180X132WWY166X113W12W60WWWY171XWW99&sn=JesseJTO&obs=gascloud3,gascloud4,gascloud5"
