name,wins,byes,rank,faction,points,totalhealth,totalmainattack,totalagility,totalupgradecount,totaluselesscount,totaluselesscost,shipcount,handicap,avginitiative,url
AJ Scarson,0,0,512,firstorder,196,17,10,11,7,1,2,4,6,3.5,"https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z397XWWW88WW247Y384X319W202W102W166Y290XWY381X181WWW&sn=RogueBlaster2400%20JTO&obs=coreasteroid1,coreasteroid3,gascloud1"
Derek Foglein,0,0,512,galacticempire,199,30,9,3,8,1,2,3,3,2.6666666666666665,"https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z216XW53W49WW88W316W164W147Y199X123W113WWY186XWW&sn=Derek%20Foglein%20JTO&obs=coreasteroid0,coreasteroid1,core2asteroid2"
Darin Schwarze,0,0,512,rebelalliance,197,26,10,6,6,1,3,3,6,2.3333333333333335,"https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z37XW46WWW140Y40XWW249W157W94Y36XWWWWW140&sn=Darin%20Schwarze%20JTO&obs=vt49decimatordebris1,vt49decimatordebris2,gascloud6"
Jeremy Wilson,0,0,512,firstorder,196,26,10,9,7,0,0,4,4,3.5,"https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z285X125WW101W86W240WY289X206WW30WWWWWY233X123WWY268XW&sn=Jeremy%20Wilson%20JTO&obs=vt49decimatordebris1,vt49decimatordebris2,core2asteroid2"
Herschet,0,0,512,rebelalliance,198,22,9,9,8,0,0,4,2,3.25,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z24XW234WWY27X116W137W136WW164W68WY54XW102W166Y15X&sn=Random%20Squad&obs=
David Rowley,0,0,512,scumandvillainy,197,32,9,7,6,0,0,4,3,3.0,"https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z89XW311W48WWW95WW152Y400X134WW43WWWWY110XWWWWWY248XW&sn=David%20Rowley%20JTO&obs=coreasteroid5,core2asteroid4,core2asteroid5"
Sean Bowman,0,0,512,galacticempire,199,30,11,6,6,0,0,4,1,2.75,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z183XW15W60WY168XWWWWW162Y172XWW100Y184X115W27WW&sn=Sean%20Bowman%20(TKDStitch)%20JTO&obs=
James O'Donoghue,0,0,512,rebelalliance,200,23,9,4,6,0,0,3,0,4.333333333333333,"https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z46XWW18WWW156Y61XW111WWWWWWW148Y67XW19WW138W&sn=James%20O%27Donoghue%20JTO&obs=gascloud1,gascloud2,gascloud3"
"Nick ""oiseaux"" Rochow",0,0,512,galacticempire,199,26,8,8,14,0,0,4,1,2.5,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z161XW240W234W99W104W139WWY188X132W138W311WW82W165Y164X113W136WWW144W13Y208XWWWWWW&sn=Nick%20Rochow%20JTO&obs=
Alfred Schnabel,0,0,512,scumandvillainy,200,30,7,5,10,1,1,3,1,2.6666666666666665,"https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z92X99W16W43WWW110W152Y127X127W48WWW108WY116X131WWWWWWW159W&sn=Jank%20Tank%20Tournament%20Scum%20List&obs=yt2400debris0,vt49decimatordebris2,core2asteroid2"
