listid,faction,totalhealth,totalmainattack,totalagility,totalupgradecount,totaluselesscount,totaluselesscost,shipcount,avginitiative,yasb
AgentStack#2,scumandvillainy,30,9,8,4,1,7,4,2.5,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z88XW234W86W1W235WWY82XWWWWWWWY143XWWWWY116XWWWWWWW&sn=Random%20Squad&obs=
Ajay2017#1,scumandvillainy,27,9,5,10,1,3,3,3.6666666666666665,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z149XWW135W249WY154XW11W100W62WWWW106WY129XW135WW9W93W165&sn=Random%20Squad&obs=
Ajay2017#2,rebelalliance,23,10,7,10,1,3,4,3.25,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z73X119W112W11WW234W249W313Y67XWW105W138W167Y15XY26XWWW5WWW&sn=Random%20Squad&obs=
AJP2#1,scumandvillainy,26,12,13,4,1,3,5,2.4,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z159X98WW165Y121XW98WWW249WY137XWY84XWWWWWWWY304X&sn=Random%20Squad&obs=
AJP2#2,separatistalliance,24,10,8,5,1,3,4,3.5,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z336X232WW32WWWW216WY357XWY328X114WW249WY327XWWWW&sn=Random%20Squad&obs=
AKarlsson(Swe)#1,rebelalliance,26,9,4,10,1,1,3,2.6666666666666665,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z58X119W57W44W236Y38XW111W314W46W165W140Y80XW136WWWW&sn=Random%20Squad&obs=
AKarlsson(Swe)#2,scumandvillainy,26,11,9,7,1,1,4,3.25,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z83X116W113W232WWW94WW151Y129XW135WWWW236Y122XWWWWY303X&sn=Random%20Squad&obs=
Akurzen#1,galacticempire,17,9,11,8,1,2,4,4.5,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z199X128WW88W164Y174X125W113W98WY224X132WY218XW249&sn=Random%20Squad&obs=
Akurzen#2,separatistalliance,27,11,7,7,1,8,4,3.25,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z336X13WW30WW221W166W216WY358XWY311XWWY335XWWW37W54WWWW&sn=Random%20Squad&obs=
Alaedar#1,resistance,29,10,8,5,1,6,4,3.5,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z300XWWWY380X99WWWW106WY250X240WW32WWWWWY298XWWW175WWW&sn=Random%20Squad&obs=
Alaedar#2,scumandvillainy,27,10,6,14,0,0,4,2.75,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z145X119W138WW79W69WW165W149W111W4Y157X127W99W91W247Y95XWWY110X121WWWWW155W&sn=Random%20Squad&obs=
AlejandroSparano#1,rebelalliance,26,8,3,10,1,7,3,3.0,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z80X115WW44W86WW110Y18X135WWW81W41W235WWY75XW114WWW135WW&sn=Random%20Squad&obs=
