listid,faction,totalhealth,totalmainattack,totalagility,totalupgradecount,totaluselesscount,totaluselesscost,shipcount,avginitiative,yasb
BobbySapphire#1,galacticempire,22,12,13,8,3,2,5,3.0,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z163X122W113WWW108W144WY201XW111WW236Y182X165WY225X122WY223XW&sn=Random%20Squad&obs=
BobbySapphire#2,separatistalliance,22,13,11,5,1,6,5,2.6,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z306X228WW109W229Y308X239WWY356X126WY279XWWY311XWW&sn=Random%20Squad&obs=
Boom Owl#1,firstorder,24,8,5,9,1,8,3,4.0,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z397XW186WW182W240W109Y242XWW99W76W114W109Y289XWWWW183WWW&sn=Random%20Squad&obs=
Boom Owl#2,resistance,31,10,6,9,2,3,4,1.75,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z346X206WW234WWWW236Y349XW206WW105Y254XWW175WWWY260X114WW246W88WWWW&sn=Random%20Squad&obs=
boulton#1,firstorder,21,9,6,6,0,0,3,3.3333333333333335,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z238XWWW53WW11W111WY383X256WW102W247Y242XWWWWW&sn=Random%20Squad&obs=
boulton#2,galacticempire,23,11,12,5,0,0,5,3.2,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z225X133W109Y186XW26W165Y219X124WY218XWY189XWWWWW&sn=Random%20Squad&obs=
Brack Daddy#1,firstorder,22,10,11,4,1,2,4,3.5,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z284XW177WW311Y283XWWW101Y397XWWW88WWY235XWW&sn=Random%20Squad&obs=
Brack Daddy#2,galacticempire,18,8,5,10,2,9,3,4.333333333333333,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z209X132WW70WY191XW134W101WW86W68WW110Y201X124W113W82W&sn=Random%20Squad&obs=
Bradley Ho#1,resistance,20,8,9,11,0,0,4,2.75,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z270X119W123W100WY348X198W246WY300XWW99WY347X178WW135WW32W4W105&sn=Random%20Squad&obs=
Bradley Ho#2,rebelalliance,24,8,4,11,2,6,3,3.0,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z72X125WWW4W167Y63X134W111W138W17W19WW76W148Y69XW46WWW&sn=Random%20Squad&obs=
Bremy#1,resistance,29,9,4,5,0,0,3,3.6666666666666665,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z252X123W195W106W175W186WWY295XWWWWWWY244XWWWWWWW&sn=Random%20Squad&obs=
Bremy#2,separatistalliance,21,10,8,9,0,0,4,3.0,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z308XWW229Y328X112W239W109W237Y305X119WW165WY309X209W208W&sn=Random%20Squad&obs=
Brent G#1,resistance,28,10,9,8,1,6,5,2.6,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z378XW99WW91WWW315Y349X116W206W32WY351XW177WWWW245WWY348XWWY379XWWWWW&sn=Random%20Squad&obs=
Brent G#2,galacticempire,30,9,7,4,0,0,4,3.75,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z206XWWW82WWW109Y214XWW30WWWW316WWY224XWY187XWWWWW&sn=Random%20Squad&obs=
Brett#1,galacticrepublic,25,10,7,6,0,0,4,3.25,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z341XW30WWWY277X72WW201WY332XW114W213W134Y315XWW&sn=Random%20Squad&obs=
Brett#2,firstorder,20,9,11,10,2,9,4,2.5,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z284X124W206W234W102Y265X178W108Y259X202WW76W240WY263XW206W&sn=Random%20Squad&obs=
brettness37#1,galacticempire,30,10,7,5,0,0,4,2.75,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z227X119WY201XWWWY216XW30W50WW86WW109WY206XWWWWWW&sn=Random%20Squad&obs=
brettness37#2,separatistalliance,23,14,13,10,1,7,6,2.0,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z358X228W116Y307XWW229Y279X311W208WY310X102W208W105Y309X224WWY310X209WW&sn=Random%20Squad&obs=
bri#1,rebelalliance,30,9,7,5,0,0,4,2.25,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z20X135WW97WW18W71W69WY45XWWWWWWY53XWY54XWW&sn=Random%20Squad&obs=
bri#2,separatistalliance,20,9,6,7,0,0,3,4.333333333333333,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z358XW248Y306X118W239WWY272X199W10WWWWW165W216W&sn=Random%20Squad&obs=
BRIAN TWIGG#1,rebelalliance,23,10,9,6,0,0,4,3.25,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z52X115W127W101Y18XWW311WWWWW166Y21XW112WWWY68XWWW&sn=Random%20Squad&obs=
BRIAN TWIGG#2,separatistalliance,22,10,8,8,0,0,4,3.5,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z272X204W13W234WW32W69WWW223Y327XWW68WW237Y353XY309XWW&sn=Random%20Squad&obs=
Brian Webb#1,rebelalliance,18,10,10,2,0,0,4,3.75,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z46XW69WWWW156Y66XWWWWY21XWWWWY15X&sn=Random%20Squad&obs=
Brian Webb#2,firstorder,14,9,9,5,0,0,3,3.6666666666666665,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z386XW134W102Y383XW318WWY382XW206W99W&sn=Random%20Squad&obs=
brittoncarr#1,scumandvillainy,27,11,8,5,0,0,4,3.0,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z124X99WWW106WY147XWWWWY153X116WW311WW53WWWWY96X&sn=Random%20Squad&obs=
brittoncarr#2,separatistalliance,19,12,12,7,1,7,5,3.4,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z354XW131Y327X136W102WW108WY309XWW105Y311X209WWY354X133W&sn=Random%20Squad&obs=
BrodyRules#1,firstorder,19,9,10,7,0,0,4,3.25,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z385X127W177WWW112W166Y242XWW99WWW105Y290XW247Y382XWWW&sn=Random%20Squad&obs=
BrodyRules#2,galacticempire,24,11,9,8,0,0,4,2.75,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z182X109W165Y167XW13WWW164W162Y170X204W111WY212XWWW164&sn=Random%20Squad&obs=
Bromak#1,resistance,26,10,8,4,0,0,4,3.5,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z297XW312WW175WWWY246X124WWWWWWWY387XWWWY348X206WW&sn=Random%20Squad&obs=
Bromak#2,galacticrepublic,28,10,9,11,2,4,5,2.6,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z319X100W249Y321X99W211Y364XW137WW86W6WWY320XW100W236Y317XW311W105&sn=Random%20Squad&obs=
Buck Owens#1,firstorder,21,8,6,8,0,0,3,3.6666666666666665,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z266X116WW109Y238X318W177WW184WWW240WY385XWWW182WW247&sn=Random%20Squad&obs=
Buck Owens#2,scumandvillainy,18,11,12,4,0,0,4,3.0,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z150X118W112W134WWY149XWWW165WY101XWY304X&sn=Random%20Squad&obs=
bulegar#1,galacticrepublic,25,9,7,10,0,0,4,2.5,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z320X132WW164Y339X234W32WW213W110Y317X125W101WY330X112W241W&sn=Random%20Squad&obs=
bulegar#2,resistance,29,9,8,8,1,7,4,3.5,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z244XWWW30W189WW164W193Y239X122W124W99WY380XWWWW165WY380XWWWWW&sn=Random%20Squad&obs=
BuzzBox#1,galacticempire,24,9,9,10,0,0,4,3.0,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z182XW106Y163X133WW234WW106W139WW99Y191X113WW99WWWWWY176X112WW106&sn=Random%20Squad&obs=
BuzzBox#2,scumandvillainy,28,11,10,5,1,4,5,2.6,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z158X127W102WWY152XWW99W20WWWWWY159XWWY142XWW69WWY247XW&sn=Random%20Squad&obs=
B_Squidgy#1,scumandvillainy,24,11,10,4,0,0,4,2.5,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z124XWWWWY83XW113WW11W68WWW151Y150XWWWWY143XWWWW&sn=Random%20Squad&obs=
B_Squidgy#2,rebelalliance,30,10,8,8,1,1,5,2.2,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z18X234W101W99WW17WW235WY56X116WW236Y56XWWY56XWWY20XWW97WWWWW&sn=Random%20Squad&obs=
Cal#1,firstorder,22,9,6,8,1,2,3,4.666666666666667,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z282XWW194WW59W13W113WY397XWWW88W112WY382X131WW100W&sn=Random%20Squad&obs=
Cal#2,separatistalliance,20,11,11,13,0,0,5,1.8,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z324X135W101W235WW237Y310X101W208W109Y310X209W208W105Y324XW98WWWY358X133W131&sn=Random%20Squad&obs=
canyonero#1,rebelalliance,30,10,3,5,0,0,3,3.3333333333333335,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z73XWW11WW135WWY392XWWWWW51WWWY36XWWW314WW140&sn=Random%20Squad&obs=
canyonero#2,resistance,30,9,6,9,1,1,4,2.25,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z352X198WW135W59W53W197WY389XW113WWWW86WWWY348X177WWY379XWWWW108W&sn=Random%20Squad&obs=
CaptainBuckbeak#1,resistance,22,8,6,9,0,0,3,4.0,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z245XW102WW188W187WW110WY298XW5W166W175W206WWY301XWW198&sn=Random%20Squad&obs=
CaptainBuckbeak#2,galacticempire,31,10,7,3,0,0,4,3.75,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z214XWW28WWWW70WWY203XWWWWWW68WY181XWWY208XWWWWWW&sn=Random%20Squad&obs=
CaptainSebastian#1,scumandvillainy,27,8,8,4,0,0,4,3.75,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z114X25W316WWWWY117XW136WWWWWWY115X256WWWWWWWY156XWWW&sn=Random%20Squad&obs=
CaptainSebastian#2,resistance,23,9,8,11,1,6,4,3.75,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z387X126W122W102WY345X125W186W230WY347X178WWWWWWY252XWW109W175WW171W100&sn=Random%20Squad&obs=
Carl Tinsley#1,firstorder,19,10,12,6,0,0,4,3.5,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z233X115WW164Y261XWY384X132W206W101WY283XW177WW&sn=Random%20Squad&obs=
Carl Tinsley#2,scumandvillainy,26,11,9,12,0,0,5,2.4,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z95X125W53W247Y230XW317WW165WW156Y129X115WWW9W91W109Y156X116WW94WY96X&sn=Random%20Squad&obs=
casperionx#1,firstorder,24,10,10,9,1,1,4,2.5,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z281XW202W179W54W53W11W113WY261X177W108Y266XWWY268X318W&sn=Random%20Squad&obs=
casperionx#2,galacticempire,21,9,5,10,1,1,3,4.333333333333333,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z167X111W10WW49W106WY183X127W30W14W166Y179X126W108W&sn=Random%20Squad&obs=
CatchySlim#1,galacticempire,35,9,2,7,0,0,3,2.0,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z168XW12WW53W164W162Y185X60WWY215X256WWWWW76WWW&sn=Random%20Squad&obs=
CatchySlim#2,scumandvillainy,29,9,7,11,1,1,4,2.75,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z135X115W106W311Y94X123W63W165Y152X132W232WW59WWWW108W150Y88XWWWWWW&sn=Random%20Squad&obs=
CatherineNyxsera#1,firstorder,30,10,4,6,0,0,3,3.6666666666666665,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z397X118WWWW240WY238XWW194WWWWWY251X206WW54WWW10WW&sn=Unsaved%20Squadron&obs=
CatherineNyxsera#2,separatistalliance,22,10,7,12,2,3,4,2.75,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z335X116W13W135W217W32W68W103WWY279XWW106Y343X102W208W249Y305XWW164W&sn=Random%20Squad&obs=
CB#1,resistance,28,9,7,7,0,0,4,2.75,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z291XWWWWWWWY347X177W12W134W32W231WWY350XW206WWY239X124WWW&sn=Random%20Squad&obs=
CB#2,rebelalliance,27,8,4,6,0,0,3,5.0,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z69X256WW164W5W167Y42XWWWWWWWY75X123WWW232WWW&sn=Random%20Squad&obs=
ChaosHat#1,firstorder,19,9,7,10,1,1,3,3.6666666666666665,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z381X131WW102W236Y289X206WW183W194WW232W240WY261X202W247&sn=Random%20Squad&obs=
ChaosHat#2,rebelalliance,25,11,8,7,0,0,4,1.5,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z68XW105W138W167Y49XWW165WWY41XWW41W164WW92Y57XW&sn=Random%20Squad&obs=
Chemical Jedi#1,rebelalliance,26,8,7,8,1,1,4,2.75,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z48X124W70W46W108W165W156Y20XWWW76WWWWY14X74WY28XWWWWWW&sn=Random%20Squad&obs=
Chemical Jedi#2,galacticrepublic,18,8,10,8,0,0,4,3.75,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z323X240W241W135Y333X116WWW134Y313XW4W200WY274XW2WW&sn=Random%20Squad&obs=
Chewels#1,scumandvillainy,27,10,9,13,0,0,4,2.25,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z154X125W12W99W30W16W79W94W164W150Y139XW135Y120X125WWW95W109WY138XW&sn=Random%20Squad&obs=
Chewels#2,galacticrepublic,26,8,6,9,1,7,4,3.5,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z366X118WWW86W214W235WY322X126WW233W134Y364XW137WWWWW211Y321XW&sn=Random%20Squad&obs=
ChopsNZ#1,rebelalliance,22,8,5,8,1,2,3,4.0,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z78XW234W30W81W7WY22XW112WWW247Y26XW138WWWWW88&sn=Random%20Squad&obs=
ChopsNZ#2,galacticempire,31,9,3,7,1,2,3,3.6666666666666665,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z396XW134W24WWWW317WW147Y202X240W88WY165XWW53WWW&sn=Random%20Squad&obs=
Chris Allen#1,firstorder,24,9,6,7,0,0,3,2.3333333333333335,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z386X177WW98Y289XWW32WW180W12W111WY259XWWWW109&sn=Random%20Squad&obs=
Chris Allen#2,separatistalliance,25,10,7,10,2,9,4,2.5,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z335X131W10WW54W32W317W106W216WY307X220WW229Y327XWWW236WY311XWW&sn=Random%20Squad&obs=
Chris Langland#1,rebelalliance,19,8,7,7,1,3,3,4.333333333333333,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z39X127W100W84WW164WWY55X118W99W249Y50XWW&sn=Random%20Squad&obs=
Chris Langland#2,firstorder,26,12,10,2,0,0,4,1.75,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z386XWW102Y265X202WY384XWWWY281XWWWWWWW&sn=Random%20Squad&obs=
Chrisburnett#1,rebelalliance,22,9,8,7,0,0,4,3.5,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z49X69W46W109WW156Y55X116W99WY51X131WWY77XWWWWW&sn=Random%20Squad&obs=
Chrisburnett#2,scumandvillainy,29,13,11,6,0,0,6,2.6666666666666665,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z94X256WWY145X115WWW78WWW110WY157XW98WWY93XWWY95XWW247Y96X&sn=Random%20Squad&obs=
Christopher Patrick#1,firstorder,20,10,10,6,0,0,4,3.75,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z259X318WWW113WY397XWWW182W114WY382X125WWWY384X115WWW&sn=Random%20Squad&obs=
Christopher Patrick#2,galacticrepublic,24,9,7,3,0,0,4,3.5,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z275XWW201WY365XWWWW233W316WY330XWWY333XWWW&sn=Random%20Squad&obs=
ChunkyWeevil#1,resistance,38,11,7,3,0,0,5,2.6,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z292XWW246WWW316WWY351XWWWWWWWY349XWWWY346XWWWW245WWY380XWWWWW&sn=Random%20Squad&obs=
ChunkyWeevil#2,separatistalliance,24,11,10,8,0,0,5,3.4,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z325X112WWW165W237Y326X136W101W71WWY305X119WWWY309X311WWY327XWWWW&sn=Random%20Squad&obs=
cmoney#1,firstorder,19,9,11,8,0,0,4,3.75,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z381X117W186WW165Y268XWY397X133W178W102W86W112WY235XWW&sn=Random%20Squad&obs=
cmoney#2,galacticrepublic,32,11,8,1,0,0,5,2.8,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z330XW5WY361XWWWWWY322XWWWY342XWWWWWY318XWW&sn=Random%20Squad&obs=
cmveas#1,galacticrepublic,26,8,6,10,1,5,4,3.5,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z361X137W234W76W213WW109Y318X115W99W108Y332X125WWWY366X129WWWWWW&sn=Random%20Squad&obs=
cmveas#2,scumandvillainy,21,10,11,4,0,0,4,3.5,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z82XWW12WWWWWY143XWWWW106Y132XWW135Y101XW135&sn=Random%20Squad&obs=
copperblue74#1,galacticempire,28,13,10,5,1,1,5,2.4,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z212X128WWW236Y164XW234WWW139W136WY182XWY207XWWWWWWWY184XWWW&sn=Random%20Squad&obs=
copperblue74#2,rebelalliance,28,10,5,7,1,7,4,3.5,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z391XW111WW13W234WW313Y27XWW234WWW71W86Y75XWWWWWWY56XWW&sn=Random%20Squad&obs=
cornishpirate94#1,separatistalliance,22,11,9,9,0,0,4,3.0,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z354X127W133Y355X228WY309XWW164Y334XWW134WWW70W108W216W222&sn=Random%20Squad&obs=
cornishpirate94#2,rebelalliance,26,10,6,10,1,1,4,2.5,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z68XWW138W167Y49XWWWWY18X135WW100W90W44W317W235WY75X130WWWWW108W&sn=Random%20Squad&obs=
Coroidan#1,scumandvillainy,22,10,10,5,0,0,4,3.5,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z151X114WWWY136X131WW134Y85XW137WWWWW93WY149XWWWW&sn=Random%20Squad&obs=
Coroidan#2,resistance,26,10,12,7,1,5,5,3.6,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z377X125W100W5W91WW109WY388XW100W198Y240XWWWY378XWWWWWWY380XWWWWW&sn=Random%20Squad&obs=
Corrvan#1,galacticrepublic,28,10,6,5,0,0,4,3.75,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z274X75WW201WY364X120W137WWWW316WY315XWWY342XWWWWW&sn=Random%20Squad&obs=
Corrvan#2,resistance,26,8,4,10,0,0,3,3.3333333333333335,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z246XW101WWW90W96WW193Y352XWW135W173WWW109Y252XWWW175WW171W13&sn=Random%20Squad&obs=
Cory Noel#1,galacticrepublic,23,8,7,10,2,2,4,3.5,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z360XW138W136W76W5WW236Y332X117WWW135Y323X111W4WY316XWW108&sn=Random%20Squad&obs=
Cory Noel#2,firstorder,24,9,6,7,0,0,3,3.3333333333333335,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z242X127WWW182W112WY386XWWY251XW177W53WWW11W114W&sn=Random%20Squad&obs=
cosmic#1,galacticrepublic,31,10,8,11,1,3,5,3.0,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z321XWY362XW137W135WW30W317W108Y316XW98W249Y364X119W137WW225WWWY320X124WW&sn=Random%20Squad&obs=
cosmic#2,scumandvillainy,22,8,6,8,0,0,3,3.0,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z119XWWW91W165WY230X53WWWW109WY106X256W10W311WWWWW153W&sn=Random%20Squad&obs=
Cradossk#1,galacticrepublic,24,9,4,11,1,1,3,3.0,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z340X133W134W32W227W4W236Y341X134WWW214W166Y275XW2W201W&sn=Random%20Squad&obs=
Cradossk#2,resistance,30,8,5,11,0,0,3,1.6666666666666667,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z271X124W172W101W186Y260XW186WWW86WW316W164Y260XWWWW187WW67W164&sn=Random%20Squad&obs=
CraftedRed#1,firstorder,22,9,6,8,0,0,3,4.0,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z397X122W186WW86W240W109Y383XWWWY289X185W186WW183WWWW&sn=Random%20Squad&obs=
CraftedRed#2,resistance,30,9,4,6,0,0,3,2.6666666666666665,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z260X111W206WWW86W68W235WY258XWW175WWWY245XWWWWWWW&sn=Random%20Squad&obs=
Cropduster#1,galacticempire,19,8,12,4,0,0,4,4.0,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z175X127WW101W106Y176XWWY173XW112WWY172XWW&sn=Random%20Squad&obs=
Cropduster#2,scumandvillainy,30,10,8,9,2,4,4,3.0,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z144X125W137WWWW316W110W149WWY304X164Y82X116WWWW317WWWY87XWWW88WWWW&sn=Random%20Squad&obs=
ctsjohnz#1,resistance,27,9,6,7,0,0,4,3.5,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z345X123W186W54W105Y231XW4WW175WWWY351XWWWWWWWY346XWWWW231WW&sn=Random%20Squad&obs=
ctsjohnz#2,galacticrepublic,35,12,11,2,0,0,6,3.1666666666666665,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z316X119WWY320X116WWY361XWWWWWY360XWWWWWWY276XWWWY320XWW&sn=Random%20Squad&obs=
cubsfan4life#1,resistance,29,9,6,7,0,0,4,2.75,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z378XW101WWW249WW315Y350XWWWY246XWW173W37W90W93WWY346XWWWWWW&sn=Random%20Squad&obs=
cubsfan4life#2,separatistalliance,25,12,11,8,0,0,5,2.8,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z356XWY308XW207W229Y325XW71WW165W237Y326X135W311WWW237Y337XWW&sn=Random%20Squad&obs=
Czarcasm#1,resistance,27,8,4,9,0,0,3,3.3333333333333335,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z349X132W178W173WY245X124W100WWWW93WWY260XWWWW189W235W69W&sn=Random%20Squad&obs=
Czarcasm#2,galacticrepublic,24,9,7,8,1,1,4,3.25,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z331XW114WW134Y315X119WW108Y330XW213W134Y338X115WWW225WW&sn=Random%20Squad&obs=
DAG Ken#1,scumandvillainy,12,8,8,6,0,0,3,4.666666666666667,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z97X121W136Y100X131W136Y156X121W311WW&sn=Random%20Squad&obs=
DAG Ken#2,separatistalliance,20,12,11,9,2,2,5,3.2,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z307XW108WY326X234WW316WW237Y358XW131Y311X98WW236Y343X101WW105&sn=Random%20Squad&obs=
Dale#1,galacticrepublic,23,8,4,8,1,2,3,4.333333333333333,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z365X120WWWWW68WY273X75W5W201WY340XW134WW88W214W&sn=Random%20Squad&obs=
Dale#2,separatistalliance,23,8,5,11,1,1,3,3.0,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z306XW239W164W229Y334X72WW134W30W219W69WWWY328X111WW236W237&sn=Random%20Squad&obs=
Dale_C#1,rebelalliance,23,8,6,11,0,0,3,3.6666666666666665,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z44XW102W84WWW108W110WY12X93W131W135WW165W142Y13X125W106&sn=Random%20Squad&obs=
Dale_C#2,galacticrepublic,21,6,4,14,1,3,3,4.333333333333333,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z365XW137W135W88W233W69W105Y359X72W137W135W86W6W317W249Y317X122WW&sn=Random%20Squad&obs=
DamianR#1,rebelalliance,21,10,8,7,0,0,4,4.25,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z2XW234W2W109W142Y54X122WWY70XWWWW167Y5XWWWW142&sn=Random%20Squad&obs=
DamianR#2,resistance,31,9,6,7,0,0,4,3.25,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z346XW12W234WW243W2W108Y270X127WWW177Y246XWWWWWWWY351XWWWWWWW&sn=Random%20Squad&obs=
Dan#1,separatistalliance,27,11,7,2,0,0,4,3.25,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z334X199W11WWWWWWWY356XWY272XWWWWWWWWY337XWW&sn=Random%20Squad&obs=
Dan#2,galacticempire,26,9,5,7,0,0,3,1.3333333333333333,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z185X28W26W165Y198X114W10W311Y168XWWW24WW&sn=Random%20Squad&obs=
Dangerman64#1,rebelalliance,22,10,11,5,0,0,5,3.4,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z53XW102Y55X115W102WY69XWWW7WY57XWY46XWW46WWW&sn=Random%20Squad&obs=
Dangerman64#2,galacticempire,22,11,12,6,1,2,5,3.2,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z228X109Y162XWW134WW247W144W13Y199XWW88WY222XWY188XWWWWW&sn=Random%20Squad&obs=
Daniel lim isophane#1,firstorder,22,10,7,4,0,0,3,3.3333333333333335,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z386X177W234W101Y382XWW101WY289XWWWWWWW&sn=Random%20Squad&obs=
Daniel lim isophane#2,rebelalliance,27,10,7,2,0,0,4,4.75,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z50XWW98Y55XWWY69XWWWWY61XWWWWWW110WW&sn=Random%20Squad&obs=
Dankoo719#1,resistance,28,9,8,9,0,0,4,2.75,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z380XWWW166W106WY380XW6W91WWW315Y293X112WW246WWW317W235WY270XWWW&sn=Random%20Squad&obs=
